Brand, Product_Name, Original_Price, Current_Price, Shipping
GIGABYTE,Gigabyte GeForce RTX 3060 Ti Gaming OC 8G REV2.0 LHR 8GB GDDR6 Video Card,$1199.99 –,$1199.99 –,Special Shipping
MSI,MSI Suprim GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 Video Card RTX 3070 Ti SUPRIM X 8G,$1345.99 (4 Offers)–,$1345.99 (4 Offers)–,$10.00 Shipping
GIGABYTE,GIGABYTE GeForce RTX 3070 Gaming OC D6 8GB (JCH),$1399.00 –,$1399.00 –,$3.00 Shipping
EVGA,EVGA GeForce RTX 3070 XC3 ULTRA GAMING Video Card| 08G-P5-3755-KR| 8GB GDDR6| iCX3 Cooling| ARGB LED| Metal Backplate,$2040.98 –,$2040.98 –,Free Shipping
MSI,MSI Suprim GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 Video Card RTX 3070 SUPRIM 8G,$1406.88 –,$1406.88 –,$49.99 Shipping
EVGA,EVGA GeForce RTX 3070 Ti XC3 ULTRA GAMING Video Card| 08G-P5-3785-KL| 8GB GDDR6X| iCX3 Cooling| ARGB LED| Metal Backplate,$2599.98 –,$2599.98 –,Free Shipping
ZOTAC,ZOTAC AMP White Edition LHR GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 ATX Video Card ZT-A30610F-10PLHR,$1679.98 –,$1679.98 –,Free Shipping
ASUS,ASUS Dual GeForce RTX 3060 Ti V2 MINI OC Edition 8GB GDDR6 PCI Express 4.0 Video Card DUAL-RTX3060TI-O8G-MINI-V2 (LHR),$955.65 (4 Offers)–,$955.65 (4 Offers)–,Free Shipping
MSI,MSI Gaming GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ti GAMING TRIO,$1038.88 (2 Offers)–,$1038.88 (2 Offers)–,$49.99 Shipping
ASUS,ASUS ATS-RTX3060TI-O8G-GAMING(LHR) Video Card|8GB 256-bit GDDR6 PCI Express 4.0 x16|1740MHz Core Frequency|2×HDMI2.1| 3×DisplayPort1.4a,$1023.99 –,$1023.99 –,Free Shipping
ZOTAC,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC White Edition LHR ZT-A30700J-10PLHR 8GB GDDR6X 384 Bit 1755 MHz 14 Gbps 3DP HDMI Graphic Card,$1199.99 –,$1199.99 –,Free Shipping
ASUS,ASUS ROG Strix LC GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 Video Card ROG-STRIX-LC-RTX3070TI-O8G-GAMING,$1579.79 –,$1579.79 –,$24.00 Shipping
ASUS,ASUS RTX3060-O12G-V2-GAMING Video Card|12GB 192-bit GDDR6 PCI Express 4.0 x16|1867MHz Core Frequency|1×HDMI2.1| 3×DisplayPort1.4a,$945.99 –,$945.99 –,Free Shipping
ASUS,ASUS TUF GeForce RTX 3060 Ti O8G V2 GAMING Edition 8GB GDDR6 PCI Express 4.0 Video Card TUF-RTX3060TI-O8G-V2-GAMING (LHR),$1874.88 (2 Offers)–,$1874.88 (2 Offers)–,$24.00 Shipping
N/A,MIS GeForce RTX 3070 GAMING X TRIO (LHR) Video Card|8GB 256-bit GDDR6 PCI Express 4.0 x16|1830MHz Core Frequency|1×HDMI interface| 3×DisplayPort interface,$1179.99 –,$1179.99 –,Free Shipping
GIGABYTE,GIGABYTE GeForce RTX 3070 Ti GAMING OC 8G Video Card|8GB 256-bit GDDR6X PCI Express 4.0 x16|1830MHz Core Frequency|2×HDMI interface| 2×DisplayPort interface,$1326.99 –,$1326.99 –,Free Shipping
N/A,Colorful AXE GeForce RTX 3070 8G V2 LHR,$1499.00 –,$1499.00 –,$500.00 Shipping
MSI,MSI GeForce RTX 3060 Ti AERO ITX 8G OC LHR,$1099.00 –,$1099.00 –,Free Shipping
GIGABYTE,GIGABYTE GeForce RTX 3060 Ti GAMING PRO 8G Graphics Card| 3 x WINDFORCE Fans| 8GB 256-bit GDDR6| GV-N306TGAMING PRO-8GD Video Card,$994.63 (2 Offers)–,$994.63 (2 Offers)–,$49.99 Shipping
GIGABYTE,GIGABYTE GeForce RTX 3060 Ti GAMING OC PRO 8GB Video Card| GV-N306TGAMINGOC PRO-8GD,$1021.95 (2 Offers)–,$1021.95 (2 Offers)–,$49.99 Shipping
MSI,MSI Ventus GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ventus 2X 12G OC,$3239.96 –,$3239.96 –,Free Shipping
GIGABYTE,GIGABYTE GeForce RTX 3060 Ti GAMING OC PRO 8G (rev 2.0) Graphics Card| WINDFORCE 3x Cooling System| 8GB 256-bit GDDR6| GV-N306TGAMINGOC PRO-8GD Video Card,$1189.00 –,$1189.00 –,Free Shipping
MSI,MSI NVIDIA GeForce RTX 3070 Ventus 3X LHR Overclocked Triple Torx Fan Graphics Card 8GB GDDR6 PCIe 4.0 x 16 OpenGL Ampere Architecture OC DirectX 12 HDMI 3 x DisplayPort 1.4a Mazepoly Accessory,$2212.99 –,$2212.99 –,Free Shipping
EVGA,EVGA GeForce RTX 3070 FTW3 Ultra Gaming Video Card| Black,$2735.99 –,$2735.99 –,Free Shipping
GIGABYTE,GIGABYTE GeForce RTX 3060 VISION OC 12G Graphics Card| 3 x WINDFORCE Fans| 12GB 192-bit GDDR6| GV-N3060VISION OC-12GD Video Card,$1399.00 –,$1399.00 –,Free Shipping
MSI,MSI Gaming GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 Video Card 3070 TWIN FAN 8G LHR,$1049.99 –,$1049.99 –,Free Shipping
MSI,MSI GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 Video Card RTX 3070 TWIN FAN 8G OC LHR,$1045.99 (2 Offers)–,$1045.99 (2 Offers)–,Free Shipping
MSI,MSI GeForce RTX 3060 ITX 12GB GDDR6 PCI Express 4.0 Video Card RTX 3060 AERO ITX OC 12G LHR,$829.99 –,$829.99 –,Free Shipping
MSI,MSI Suprim GeForce RTX 3070 TI 8GB GDDR6 PCI Express 4.0 Video Card RTX 3070 TI SUPRIM 8G,$1298.39 (3 Offers)–,$1298.39 (3 Offers)–,$49.99 Shipping
MSI,MSI Gaming GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ti Gaming X 8G LHR,$969.99 –,$969.99 –,Free Shipping
MSI,MSI Suprim GeForce RTX 3070 TI 8GB GDDR6 PCI Express 4.0 Video Card RTX 3070 TI SUPRIM 8G,$1785.98 (2 Offers)–,$1785.98 (2 Offers)–,Free Shipping
GIGABYTE,GIGABYTE Eagle GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3070EAGLE OC-8GD (rev. 2.0),$1099.65 (2 Offers)–,$1099.65 (2 Offers)–,$49.99 Shipping
MSI,MSI Ventus GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ti VENTUS 2X 8G OCV1 LHR,$969.99 (2 Offers)–,$969.99 (2 Offers)–,Free Shipping
MSI,MSI Ventus GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 x16 Video Card RTX 3060 Ti VENTUS 2X 8G OCV1 LHR,$848.99 –,$848.99 –,$49.99 Shipping
MSI,MSI Ventus GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 x16 Video Card RTX 3060 Ti VENTUS 2X 8G OCV1 LHR,$848.99 –,$848.99 –,$49.99 Shipping
GIGABYTE,GIGABYTE GeForce RTX 3060 Ti GAMING OC 8GB Video Card| GV-N306TGAMING OC-8GD (REV. 2.0),$949.99 –,$949.99 –,Free Shipping
GIGABYTE,GIGABYTE Eagle GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 ATX Video Card GV-N306TEAGLE-8GD (REV 2.0) LHR,$883.00 (2 Offers)–,$883.00 (2 Offers)–,Free Shipping
GIGABYTE,GIGABYTE AORUS GeForce RTX 3070 MASTER 8GB Video Card| GV-N3070AORUS M-8GD (REV2.0),$1389.99 –,$1389.99 –,Free Shipping
N/A,COLORFUL iGame GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 x16 Video Card RTX 3060 Advanced OC LHR,$849.99 –,$849.99 –,Free Shipping
MSI,MSI Gaming GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 x16 Video Card RTX 3060 Ti Gaming Z TRIO  8G LHR,$1089.99 (2 Offers)–,$1089.99 (2 Offers)–,Free Shipping
ASUS,ASUS Dual GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 x16 Video Card DUAL-RTX3060-O12G-V2,$829.99 –,$829.99 –,Free Shipping
GIGABYTE,GIGABYTE Eagle OC GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 ATX Video Card GV-N306TEAGLE OC-8GD (rev. 2.0) (LHR),$868.00 (2 Offers)–,$868.00 (2 Offers)–,Free Shipping
ASUS,ASUS Dual GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 x16 Video Card DUAL-RTX3060TI-O8G-V2 LHR,$899.99 –,$899.99 –,Free Shipping
GIGABYTE,GIGABYTE Vision GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 x16 ATX Video Card GV-N306TVISION OC-8GD (REV 2.0),$1089.99 –,$1089.99 –,Free Shipping
MSI,MSI Gaming GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Gaming Z Trio 12G LHR,$840.45 (4 Offers)–,$840.45 (4 Offers)–,$49.99 Shipping
GIGABYTE,GIGABYTE AORUS GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3070AORUS M-8GD (rev. 2.0),$1076.69 (4 Offers)–,$1076.69 (4 Offers)–,$49.99 Shipping
GIGABYTE,GIGABYTE GeForce RTX 3060 Ti GAMING PRO 8G Graphics Card| 3 x WINDFORCE Fans| 8GB 256-bit GDDR6| GV-N306TGAMING PRO-8GD Video Card,$1119.00 –,$1119.00 –,Free Shipping
MSI,MSI Gaming GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Gaming X 12G LHR,$849.99 –,$849.99 –,Free Shipping
GIGABYTE,GIGABYTE Gaming GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 ATX Video Card GV-N306TGAMINGOC PRO-8GD (REV. 3.0),$956.99 (3 Offers)–,$956.99 (3 Offers)–,Free Shipping
GIGABYTE,GIGABYTE AORUS GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N307TAORUS M-8GD,$1445.06 (2 Offers)–,$1445.06 (2 Offers)–,$45.00 Shipping
MSI,MSI Ventus GeForce RTX 3070 Ti 8GB PCI Express 4.0 x16 Video Card RTX 3070 Ti VENTUS 3X 8G,$1199.99 –,$1199.99 –,$49.99 Shipping
GIGABYTE,GIGABYTE Gaming GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N307TGAMING OC-8GD,$1359.00 –,$1359.00 –,Free Shipping
ASUS,ASUS TUF Gaming GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card| OC Edition TUF-RTX3060-O12G-GAMING|NOT LHR,$1078.90 –,$1078.90 –,Free Shipping
MSI,MSI Ventus GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 Video Card RTX 3070 VENTUS 3X OC LHR,$1679.99 –,$1679.99 –,Free Shipping
PNY Technologies, Inc.,PNY GeForce RTX 3060 12GB UPRISING Dual Fan Graphics card |VCG306012DFMPB,$940.00 –,$940.00 –,Free Shipping
EVGA,EVGA GeForce RTX 3070 XC3 BLACK GAMING Video Card| 08G-P5-3751-KR| 8GB GDDR6| iCX3 Cooling| ARGB LED,$2541.00 –,$2541.00 –,Free Shipping
ASUS,ASUS TUF Gaming GeForce RTX 3070 Ti OC Edition 8GB GDDR6X PCI Express 4.0 Video Card TUF-RTX3070TI-O8G-GAMING,$1490.00 –,$1490.00 –,Free Shipping
N/A,COLORFUL iGame GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 x16 Video Card RTX 3060 Ti Ultra WHITE OC LHR,$1299.00 –,$1299.00 –,Free Shipping
ASUS,ASUS TUF Gaming GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 Video Card TUF-RTX3070TI-8G-GAMING,$1199.19 –,$1199.19 –,$49.99 Shipping
EVGA,EVGA GeForce RTX 3060 Ti FTW ULTRA GAMING Video Card| 08G-P5-3667-KL| 8GB GDDR6| iCX3 Cooling| ARGB LED| LHR,$1334.50 –,$1334.50 –,Free Shipping
EVGA,EVGA GeForce RTX 3070 XC3 ULTRA GAMING Video Card| 08G-P5-3755-KR| 8GB GDDR6| iCX3 Cooling| ARGB LED| Metal Backplate,$2526.00 –,$2526.00 –,Free Shipping
N/A,COLORFUL iGame GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 x16 Video Card RTX 3060 Ti Ultra WHITE OC LHR,$1299.00 –,$1299.00 –,Free Shipping
ASUS,ASUS TUF Gaming GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 x16 Video Card TUF-RTX3060TI-O8G-V2-GAMING,$1081.78 (2 Offers)–,$1081.78 (2 Offers)–,$19.00 Shipping
