Brand, Product_Name, Original_Price, Current_Price, Shipping
ASUS,ASUS TUF Gaming GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 Video Card TUF-RTX3060TI-O8G-GAMING,$1058.78 –,$1058.78 –,$49.99 Shipping
GIGABYTE,GIGABYTE GeForce RTX 3060 GAMING OC 12G Graphics Card| 3 x WINDFORCE Fans| 12GB 192-bit GDDR6| GV-N3060GAMING OC-12GD Video Card,$830.99 (3 Offers)–,$830.99 (3 Offers)–,$49.99 Shipping
ASUS,ASUS ROG STRIX GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 Video Card ROG-STRIX-RTX3060TI-O8G-GAMING,$1092.88 –,$1092.88 –,$49.99 Shipping
MSI,MSI Gaming GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Gaming X 12G LHR,$777.14 (2 Offers)–,$777.14 (2 Offers)–,$45.00 Shipping
ASUS,ASUS ROG Strix GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 Video Card ROG-STRIX-RTX3070-O8G-WHITE-V2,$1279.99 (3 Offers)–,$1279.99 (3 Offers)–,Free Shipping
GIGABYTE,GIGABYTE GeForce RTX 3070 Ti Gaming OC 8G Graphics Card| WINDFORCE 3X Cooling System| 8GB 256-bit GDDR6X| GV-N307TGAMING OC-8GD Video Card,$1269.00 –,$1269.00 –,Free Shipping
GIGABYTE,GIGABYTE GeForce RTX 3060 Ti GAMING OC 8GB Video Card| GV-N306TGAMING OC-8GD,$1054.99 (2 Offers)–,$1054.99 (2 Offers)–,Free Shipping
N/A,COLORFUL iGame  GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 x16 Video Card RTX 3060 Ti Ultra WHITE OC LHR,$969.99 (2 Offers)–,$969.99 (2 Offers)–,Free Shipping
GIGABYTE,GIGABYTE Gaming GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 x16 ATX Video Card GV-N306TGAMINGOC PRO-8GD (rev. 3.0),$904.11 (4 Offers)–,$904.11 (4 Offers)–,$45.00 Shipping
MSI,MSI Ventus GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 Video Card RTX 3070 VENTUS 2X,$1102.99 (2 Offers)–,$1102.99 (2 Offers)–,$49.99 Shipping
MSI,MSI Ventus GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 Video Card RTX 3070 VENTUS 3X OC,$1265.05 –,$1265.05 –,$49.99 Shipping
GIGABYTE,GIGABYTE Vision GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 x16 ATX Video Card GV-N3060VISION OC-12GD (rev. 2.0),$819.47 (3 Offers)–,$819.47 (3 Offers)–,$49.99 Shipping
EVGA,EVGA NVIDIA GeForce RTX 3060 XC 12GB DDDR6 Video Card 12G-P5-3657-KR + HDMI - NEW,$916.95 (4 Offers)–,$916.95 (4 Offers)–,Free Shipping
ASUS,ASUS ROG Strix GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 Video Card ROG-STRIX-RTX3070-O8G-GAMING,$1410.29 –,$1410.29 –,$49.99 Shipping
